N;Sequencial;Sentinela;Binaria;Interpolacao
1;3;3;4;4
2;5;4;7;7
3;7;5;7;7
4;9;6;10;10
5;11;7;10;10
6;13;8;10;10
7;15;9;10;10
8;17;10;13;13
9;19;11;13;13
10;21;12;13;13
11;23;13;13;13
12;25;14;13;13
13;27;15;13;13
14;29;16;13;13
15;31;17;13;13
16;33;18;16;16
17;35;19;16;16
18;37;20;16;16
19;39;21;16;16
20;41;22;16;16
21;43;23;16;16
22;45;24;16;16
23;47;25;16;16
24;49;26;16;16
25;51;27;16;16
26;53;28;16;16
27;55;29;16;16
28;57;30;16;16
29;59;31;16;16
30;61;32;16;16
31;63;33;16;16
32;65;34;19;19
33;67;35;19;19
34;69;36;19;19
35;71;37;19;19
36;73;38;19;19
37;75;39;19;19
38;77;40;19;19
39;79;41;19;19
40;81;42;19;19
41;83;43;19;19
42;85;44;19;19
43;87;45;19;19
44;89;46;19;19
45;91;47;19;19
46;93;48;19;19
47;95;49;19;19
48;97;50;19;19
49;99;51;19;19
50;101;52;19;19
51;103;53;19;19
52;105;54;19;19
53;107;55;19;19
54;109;56;19;19
55;111;57;19;19
56;113;58;19;19
57;115;59;19;19
58;117;60;19;19
59;119;61;19;19
60;121;62;19;19
61;123;63;19;19
62;125;64;19;19
63;127;65;19;19
64;129;66;22;22
65;131;67;22;22
66;133;68;22;22
67;135;69;22;22
68;137;70;22;22
69;139;71;22;22
70;141;72;22;22
71;143;73;22;22
72;145;74;22;22
73;147;75;22;22
74;149;76;22;22
75;151;77;22;22
76;153;78;22;22
77;155;79;22;22
78;157;80;22;22
79;159;81;22;22
80;161;82;22;22
81;163;83;22;22
82;165;84;22;22
83;167;85;22;22
84;169;86;22;22
85;171;87;22;22
86;173;88;22;22
87;175;89;22;22
88;177;90;22;22
89;179;91;22;22
90;181;92;22;22
91;183;93;22;22
92;185;94;22;22
93;187;95;22;22
94;189;96;22;22
95;191;97;22;22
96;193;98;22;22
97;195;99;22;22
98;197;100;22;22
99;199;101;22;22
100;201;102;22;22
101;203;103;22;22
102;205;104;22;22
103;207;105;22;22
104;209;106;22;22
105;211;107;22;22
106;213;108;22;22
107;215;109;22;22
108;217;110;22;22
109;219;111;22;22
110;221;112;22;22
111;223;113;22;22
112;225;114;22;22
113;227;115;22;22
114;229;116;22;22
115;231;117;22;22
116;233;118;22;22
117;235;119;22;22
118;237;120;22;22
119;239;121;22;22
